analysis_id,k68n002bsxxf89p
parameter_id,IMPC_HEM_027_001
mouse_strain,C57BL
pvalue,0.859573
parameter_name,Red blood cell distribution width
mouse_life_stage,Early adult
gene_symbol,Sfpq
gene_accession_id,MGI:1918764
