parameter_id,IMPC_HEM_027_001
gene_accession_id,MGI:1274787
analysis_id,u7k46261vu50r73
gene_symbol,Trdmt1
mouse_strain,C57BL
parameter_name,Red blood cell distribution width
pvalue,0.3314255
mouse_life_stage,Early adult
