gene_symbol,Npbwr1
gene_accession_id,MGI:891989
mouse_life_stage,Early adult
parameter_name,Placenta Size
pvalue,0.2686702
parameter_id,IMPC_GPP_004_001
analysis_id,6jm86122r8cj8i1
mouse_strain,C57BL
