gene_symbol,Ivd
analysis_id,132m34006951ez3
pvalue,0.7708822
gene_accession_id,MGI:1929242
mouse_life_stage,Early adult
parameter_name,Click-evoked ABR threshold
mouse_strain,C57BL
parameter_id,IMPC_ABR_002_001
