analysis_id,gi44y09i0g28c5k
mouse_strain,C57BL
gene_symbol,Wars2
parameter_name,CD4+ CD25+ alpha beta regulatory T cell percentage
parameter_id,MGP_PBI_008_001
pvalue,0.3906234
mouse_life_stage,E9.5
gene_accession_id,MGI:1917810
