analysis_id,1p96ge34ij471ry
gene_symbol,Mgst2
mouse_strain,C57BL
parameter_id,MGP_IMM_020_001
mouse_life_stage,Early adult
pvalue,0.9692035
gene_accession_id,MGI:2448481
parameter_name,Effector gd T cells - % of gd T cells
