analysis_id,475v0vrs83n1k61
pvalue,0.1607938
mouse_strain,C57BL
parameter_id,IMPC_GEO_011_001
gene_symbol,Secisbp2l
mouse_life_stage,Middle aged adult
parameter_name,Blood Vessel Morphology
gene_accession_id,MGI:1917604
