parameter_name,Sacral processes
gene_accession_id,MGI:95835
mouse_life_stage,Early adult
pvalue,0.2862923
analysis_id,56f0vg4x4g22953
parameter_id,IMPC_XRY_066_001
mouse_strain,C57BL
gene_symbol,Hspa5
