analysis_id,0qr3zj93whj4o47
gene_symbol,Ssr2
parameter_name,Tremor
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,TCPLA_CSD_030_001
gene_accession_id,MGI:1913506
pvalue,0.4569625
