mouse_strain,C57BL
parameter_name,KLRG1+ gd T cells - % of gd T cells
gene_symbol,Frmpd1
parameter_id,MGP_MLN_021_001
pvalue,0.9681169
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:2446274
analysis_id,52bwey84z16fk0f
