analysis_id,55g5tc5jl412fgc
pvalue,0.6068349
parameter_id,IMPC_HEM_027_001
gene_symbol,Mecom
gene_accession_id,MGI:95457
mouse_strain,C3H
mouse_life_stage,Early adult
parameter_name,Red blood cell distribution width
