gene_symbol,S100a3
parameter_name,KLRG1+ mature NK cell number
pvalue,0.9147664
parameter_id,MGP_PBI_031_001
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,97m64g9o66z48g4
gene_accession_id,MGI:1338849
