gene_symbol,Eprs1
parameter_name,Total NK cells - % of CD45+
mouse_life_stage,Early adult
gene_accession_id,MGI:97838
parameter_id,MGP_IMM_033_001
pvalue,0.935618
analysis_id,123tz44816358t6
mouse_strain,C57BL
