analysis_id,40qj1t5hch7bmk0
mouse_strain,129SV
parameter_id,IMPC_IMM_069_001
gene_accession_id,MGI:2684980
gene_symbol,Mms22l
parameter_name,Transitional B Cells (CD21/35 low)
mouse_life_stage,Early adult
pvalue,0.4963344
