gene_symbol,Amigo1
parameter_id,MGP_IMM_130_001
pvalue,0.6706732
gene_accession_id,MGI:2653612
analysis_id,e7er7h532412gn6
mouse_strain,C57BL
parameter_name,CD11b-low cDC - % of CD45+
mouse_life_stage,Early adult
