analysis_id,gbp58o65h9p063h
mouse_life_stage,Early adult
pvalue,0.774792
gene_accession_id,MGI:1332236
parameter_name,Body Weight
gene_symbol,Cds2
mouse_strain,129SV
parameter_id,M-G-P_012_001_005
