gene_symbol,Steap3
parameter_name,Lean mass
analysis_id,for5kuxzs292b2i
parameter_id,JAXLA_DXA_003_001
mouse_strain,C57BL
pvalue,0.5100157
mouse_life_stage,Early adult
gene_accession_id,MGI:1915678
