parameter_id,JAXLA_DXA_007_001
analysis_id,g98ap5hy6bqc80y
gene_symbol,Dmap1
mouse_life_stage,Early adult
gene_accession_id,MGI:1913483
parameter_name,BMC/Body weight
pvalue,0.05949245
mouse_strain,C57BL
