parameter_name,Hemoglobin
parameter_id,IMPC_HEM_003_001
pvalue,0.5926109
analysis_id,5i2878a91ndfu13
gene_accession_id,MGI:105073
mouse_life_stage,Early adult
gene_symbol,Tnni1
mouse_strain,C57BL
