analysis_id,i9803fh3rj75kkk
parameter_id,HMGULA_CBC_018_001
pvalue,0.2237199
mouse_life_stage,Early adult
gene_accession_id,MGI:107566
gene_symbol,Kifap3
parameter_name,Glucose
mouse_strain,C57BL
