gene_symbol,Sema6c
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,ESLIM_011_001_002
parameter_name,PP1 startle magnitude
gene_accession_id,MGI:1338032
analysis_id,8ff91efwqaea234
pvalue,0.1325532
