parameter_id,IMPC_CBC_008_001
pvalue,0.959152
mouse_strain,C57BL
gene_accession_id,MGI:3046938
gene_symbol,Hrnr
analysis_id,26b5e4ny5cpby44
mouse_life_stage,Early adult
parameter_name,Total bilirubin
