parameter_id,JAXLA_ECG_002_001
gene_symbol,Wars2
analysis_id,66k34thi761d03i
mouse_strain,C57BL
parameter_name,HR
mouse_life_stage,E9.5
pvalue,0.606021
gene_accession_id,MGI:1917810
