analysis_id,fo5bx5r0rf6j388
parameter_id,IMPC_OFD_022_001
mouse_strain,C57BL
gene_symbol,Tbl1xr1
gene_accession_id,MGI:2441730
parameter_name,Percentage center time
mouse_life_stage,Late adult
pvalue,0.6146864
