analysis_id,bjl278mmq81tb0k
gene_accession_id,MGI:1916363
gene_symbol,Alkbh3
mouse_life_stage,Early adult
pvalue,0.6240717
mouse_strain,C57BL
parameter_id,ESLIM_011_001_704
parameter_name,Prepulse inhibition - PP4
