gene_symbol,PUM1
gene_accession_id,MGI:1931749
analysis_id,gj41m3fj29bktcq
mouse_life_stage,Early adult
parameter_id,IMPC_HWT_008_001
pvalue,0.3225526
mouse_strain,C57BL
parameter_name,Heart weight
