analysis_id,1q7vd74c637q431
parameter_name,Neural tube closure
mouse_life_stage,Late adult
parameter_id,IMPC_GEL_027_001
gene_accession_id,MGI:1345282
pvalue,0.3327993
gene_symbol,Slc30a4
mouse_strain,C57BL
