gene_symbol,Cds2
parameter_id,MGP_PBI_002_001
mouse_strain,129SV
parameter_name,Alpha beta T cell percentage
analysis_id,5690139h1zgb752
mouse_life_stage,Early adult
pvalue,0.4890925
gene_accession_id,MGI:1332236
