analysis_id,tpu66e8tlgjij6y
mouse_strain,C57BL
pvalue,0.9620114
mouse_life_stage,Early adult
parameter_id,MGP_PBI_018_001
parameter_name,Ly6Clow monocyte percentage
gene_accession_id,MGI:1913838
gene_symbol,Cmpk1
