gene_symbol,Snap23
mouse_life_stage,Early adult
parameter_name,Follicular B cells - % of B2 cells
parameter_id,MGP_IMM_048_001
analysis_id,w95v840541q568x
gene_accession_id,MGI:109356
pvalue,0.8733439
mouse_strain,C57BL
