parameter_name,Body Weight
mouse_strain,C57BL
analysis_id,o1d7z8j8418hd8v
pvalue,0.8876552
gene_accession_id,MGI:1934811
mouse_life_stage,Late adult
parameter_id,M-G-P_012_001_005
gene_symbol,Nucks1
