parameter_id,IMPC_XRY_002_001
mouse_strain,C57BL
parameter_name,Zygomatic bone
mouse_life_stage,Early adult
gene_accession_id,MGI:1915472
analysis_id,9ai1ko63jh4156e
gene_symbol,Tubb4b
pvalue,0.9993793
