parameter_name,Neural tube morphology
gene_symbol,Rhbg
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1927379
parameter_id,IMPC_GEL_060_001
pvalue,0.980006
analysis_id,51sg2r8e5fb2v2e
