parameter_name,Hemoglobin
parameter_id,IMPC_HEM_003_001
gene_symbol,Abo
mouse_life_stage,Early adult
gene_accession_id,MGI:2135738
pvalue,0.5913306
analysis_id,6wnc29kr59k6793
mouse_strain,C57BL
