gene_symbol,Steap3
mouse_strain,C57BL
analysis_id,l0t2a4pe08assp4
parameter_id,JAX_SLW_013_001
mouse_life_stage,Early adult
parameter_name,Breath rate during sleep mean
pvalue,0.6814766
gene_accession_id,MGI:1915678
