parameter_id,IMPC_GRS_011_001
gene_accession_id,MGI:1920638
mouse_strain,C57BL
gene_symbol,Bpifa3
pvalue,0.1765152
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
mouse_life_stage,Early adult
analysis_id,97932xvpkbn7391
