analysis_id,s5611n1x91v8077
gene_symbol,Ufc1
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1913405
parameter_name,Macrophages - % of CD45+
parameter_id,MGP_IMM_121_001
pvalue,0.1005339
