analysis_id,53a3n7kkq6867n4
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
pvalue,0.8529998
mouse_life_stage,Early adult
parameter_id,JAX_OFD_022_001
parameter_name,Percentage center time
mouse_strain,C57BL
