parameter_name,Neutrophil cell count
mouse_life_stage,Early adult
analysis_id,4n5o012i4sm6w9c
mouse_strain,C57BL
parameter_id,IMPC_HEM_030_001
gene_symbol,Rab13
pvalue,0.4309301
gene_accession_id,MGI:1927232
