parameter_name,Heart looping
gene_accession_id,MGI:1913284
mouse_life_stage,Early adult
analysis_id,7871809j387w8c7
mouse_strain,C57BL
gene_symbol,Psmd14
parameter_id,IMPC_GEL_057_001
pvalue,0.4545176
