analysis_id,83315ld9il0as4k
parameter_id,IMPC_CAL_008_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.6856262
parameter_name,Total food intake
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
