parameter_name,center - distance
analysis_id,58a540mns1z2w18
mouse_life_stage,E18.5
gene_symbol,Nanp
parameter_id,M-G-P_007_001_010
pvalue,0.05460915
mouse_strain,C57BL
gene_accession_id,MGI:1914561
