analysis_id,mxcnta9qxx1b2a3
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_accession_id,MGI:1345282
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
pvalue,0.3392099
gene_symbol,Slc30a4
parameter_id,JAXLA_GRS_011_001
