parameter_name,Vibrissae - appearance
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,HMGULA_DYS_024_001
analysis_id,ae87618xlm4mq7o
gene_accession_id,MGI:1341628
pvalue,0.2428771
gene_symbol,Atrn
