gene_symbol,Frmpd1
parameter_id,IMPC_EYE_056_001
gene_accession_id,MGI:2446274
mouse_strain,C57BL
parameter_name,Mean left eye lens density
analysis_id,l5iv87qpe275eru
mouse_life_stage,Middle aged adult
pvalue,0.9134209
