analysis_id,sowwlk3k28mpw8i
parameter_id,MGP_BMI_019_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,T cells - % of CD45+
gene_symbol,Psd4
gene_accession_id,MGI:2674093
pvalue,0.7723238
