parameter_id,HRWLLA_GRS_010_001
gene_accession_id,MGI:1915087
pvalue,0.4097287
analysis_id,9465u645w928t76
mouse_strain,C57BL
gene_symbol,Tiprl
mouse_life_stage,E12.5
parameter_name,Forelimb grip strength normalised against body weight
