parameter_id,HRWLLA_OFD_011_001
analysis_id,317l41m92087313
gene_accession_id,MGI:1918345
parameter_name,Periphery resting time
mouse_strain,C57BL
pvalue,0.2699834
gene_symbol,Kif24
mouse_life_stage,Early adult
