analysis_id,90k2p18onx14m41
parameter_id,IMPC_HEM_002_001
pvalue,0.9476657
gene_symbol,Dmap1
parameter_name,Red blood cell count
gene_accession_id,MGI:1913483
mouse_life_stage,Early adult
mouse_strain,C57BL
