analysis_id,2930p842mk8u71j
mouse_strain,C57BL
gene_accession_id,MGI:97838
mouse_life_stage,E12.5
gene_symbol,EPRS1
parameter_name,Alpha beta T cell percentage
parameter_id,MGP_PBI_002_001
pvalue,0.7410396
