mouse_strain,C57BL
parameter_name,Coat - color - abdomen
gene_symbol,Arnt
mouse_life_stage,Early adult
analysis_id,kzpgx41644881on
gene_accession_id,MGI:88071
pvalue,0.6871366
parameter_id,IMPC_CSD_007_001
