analysis_id,lbes693tv98e18y
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Red blood cell distribution width
pvalue,0.6952243
parameter_id,IMPC_HEM_027_001
gene_symbol,Hpca
gene_accession_id,MGI:1336200
