analysis_id,g9k774vkczwdd9i
mouse_life_stage,Early adult
parameter_name,Skull shape
mouse_strain,C57BL
gene_symbol,Rgs20
gene_accession_id,MGI:1929866
parameter_id,IMPC_XRY_001_001
pvalue,0.06725838
