gene_symbol,Tnni1
parameter_id,ESLIM_011_001_704
gene_accession_id,MGI:105073
analysis_id,iy00js1b48738gy
pvalue,0.4322588
mouse_strain,C57BL
parameter_name,Prepulse inhibition - PP4
mouse_life_stage,Early adult
