mouse_strain,129SV
parameter_id,IMPC_ACS_035_001
gene_accession_id,MGI:1920638
gene_symbol,Bpifa3
parameter_name,% Pre-pulse inhibition - PPI3
mouse_life_stage,Early adult
analysis_id,rzfsd2444j5nk2a
pvalue,0.7975631
