parameter_id,JAX_SLW_014_001
gene_accession_id,MGI:1914836
gene_symbol,Ubxn11
mouse_strain,C57BL
pvalue,0.8843015
analysis_id,567m07tcgdf11w5
mouse_life_stage,Early adult
parameter_name,Breath rate during sleep standard deviation
