gene_symbol,Amigo1
analysis_id,31081104c142h4f
mouse_strain,C57BL
parameter_name,Calcium
pvalue,0.09043264
parameter_id,HMGULA_CBC_009_001
gene_accession_id,MGI:2653612
mouse_life_stage,Early adult
