parameter_name,Periphery resting time
analysis_id,61k833d4838fnrj
gene_accession_id,MGI:2685053
parameter_id,IMPC_OFD_011_001
gene_symbol,Ntmt2
mouse_life_stage,Early adult
pvalue,0.6886956
mouse_strain,C57BL
