gene_symbol,Bpifa3
analysis_id,0u2bf52kmu7ntia
pvalue,0.3725478
parameter_id,MGP_MLN_021_001
mouse_life_stage,Early adult
parameter_name,KLRG1+ gd T cells - % of gd T cells
gene_accession_id,MGI:1920638
mouse_strain,129SV
