analysis_id,65z813e00xqv02g
mouse_strain,C57BL
gene_accession_id,MGI:1336200
pvalue,0.7461677
mouse_life_stage,Late adult
gene_symbol,Hpca
parameter_id,JAXLA_CSD_022_001
parameter_name,Hindlimbs - size
