analysis_id,0b6qtxlobtii1r3
parameter_id,IMPC_HEM_006_001
gene_symbol,Mapkap1
mouse_strain,C57BL
pvalue,0.1855706
parameter_name,Mean corpuscular hemoglobin
mouse_life_stage,E12.5
gene_accession_id,MGI:2444554
