gene_symbol,Fpgs
parameter_name,Coat - hair distribution - head
gene_accession_id,MGI:95576
parameter_id,IMPC_CSD_012_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.1717869
analysis_id,ej6z6ndc8ud8dcd
