analysis_id,txrm088lf2347o7
gene_accession_id,MGI:1917604
mouse_life_stage,Early adult
pvalue,0.6552484
mouse_strain,C57BL
gene_symbol,Secisbp2l
parameter_name,RR
parameter_id,IMPC_ECG_004_001
