gene_symbol,Ivd
analysis_id,qe8lz984u66894y
parameter_name,CD8+ KLRG1+ alpha beta T cell number
parameter_id,MGP_PBI_033_001
mouse_life_stage,Early adult
pvalue,0.1770223
mouse_strain,C57BL
gene_accession_id,MGI:1929242
